epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4097.5,1.57846,4.06374,0.00136,0.55442,0.09834,0.09654,0.07551,1.45249,1.97512,0.00151,0.00999945,0.00333315,0.00999945,0.00333315,0.00999945,0.00333315,0.00999945,0.00333315
2,7344.56,1.62922,2.22921,0.00147,0.52039,0.17068,0.16336,0.12822,1.4939,1.82934,0.00161,0.0198015,0.00660049,0.0198015,0.00660049,0.0198015,0.00660049,0.0198015,0.00660049
3,10498.3,1.7322,2.27022,0.00163,0.50186,0.18086,0.18651,0.14738,1.54617,1.85071,0.00172,0.0294055,0.00980182,0.0294055,0.00980182,0.0294055,0.00980182,0.0294055,0.00980182
4,13625.7,1.78542,2.25818,0.00173,0.51768,0.22609,0.22584,0.17973,1.53296,1.76878,0.0017,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,16744.6,1.73528,2.11629,0.00166,0.51715,0.25689,0.26617,0.21303,1.49854,1.67273,0.00164,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,19859.8,1.70251,2.02152,0.00158,0.5181,0.28291,0.29869,0.24033,1.4648,1.61592,0.00157,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,22983.3,1.67586,1.96368,0.00155,0.5334,0.30735,0.32842,0.26465,1.44756,1.56018,0.00154,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,26104.6,1.64821,1.89383,0.00151,0.50271,0.34406,0.3557,0.28803,1.4251,1.51617,0.00151,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,29231.2,1.63171,1.86144,0.00149,0.52953,0.34738,0.37009,0.29889,1.41374,1.48886,0.00147,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,32347.4,1.62284,1.82727,0.00148,0.53439,0.36272,0.3872,0.31316,1.39612,1.46179,0.00145,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
